restriction_type,times_of_operation,maximum_stay,tariff,cashless_identifier,nearest_machine,road_name,postcode,controlled_parking_zone,valid_parking_permits,parking_bay_length_metres,disclaimer,easting,northing,longitude,latitude,unique_identifier,spatial_accuracy,last_uploaded,location,organisation_uri,:@computed_region_hxwp_gyfc,:@computed_region_6i9a_26nj,parking_spaces,epsg_27700_well_known_text_geometry,epsg_4326_well_known_text_geometry
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Abbey Road,NW6 4SL,CA-K,N/A,9,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525752,183921,-0.188102,51.540191,46043692,Defined By Custodian,2019-11-29T23:02:00.000,"{'latitude': '51.540191', 'longitude': '-0.188102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},13,94,1,"LINESTRING (525754.7767521647 183917.9932772883,525755.7579144358 183919.28290813533,525748.7743476832 183924.23149161803,525749.6565692209 183921.4422900187)","LINESTRING (-0.1880637406612619 51.54016326344127,-0.18804913974728688 51.540174635093685,-0.18814801831418823 51.540220662800564,-0.1881363000060025 51.540195399633184)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Sumatra Road,NW6 1TW,CA-P,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525067,185045,-0.197575,51.550445,46044489,Defined By Custodian,2019-11-29T23:02:01.000,"{'latitude': '51.550445', 'longitude': '-0.197575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},18,130,1,"LINESTRING (525069.58743948 185045.8504315362,525067.7570359156 185045.21061468188,525067.79001616 185045.10064616005,525069.6451549077 185039.4922515463,525071.5332738999 185040.13206840062)","LINESTRING (-0.19753787562013805 51.55045156948533,-0.19756448849865693 51.550446224704,-0.1975640521664677 51.55044522909826,-0.19753930332753322 51.550394414860136,-0.19751185850247935 51.55039974685485)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Great Ormond Street,WC1N 3EP,CA-D,N/A,7,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530684,182088,-0.117705,51.5226,46042555,Defined By Custodian,2019-11-29T23:01:57.000,"{'latitude': '51.5226', 'longitude': '-0.117705', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},11,79,1,"LINESTRING (530681.0111236667 182089.6466360703,530681.7861594101 182087.46725991022,530687.9946904193 182089.49667899506,530687.1619392481 182091.6060751867)","LINESTRING (-0.11774813905634904 51.5226145052506,-0.11773778203284843 51.522594740492465,-0.11764759146228511 51.522611543486946,-0.11765880582478495 51.52263069269629)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Priory Road,NW6 3NS,CA-R,CA-R;CA-K,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525686,184485,-0.188852,51.545275,46046502,Defined By Custodian,2019-11-29T23:02:06.000,"{'latitude': '51.545275', 'longitude': '-0.188852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,123,1,"LINESTRING (525688.5029510341 184487.99011739006,525686.7302628973 184487.9801202517,525686.5736067365 184482.26175711612,525688.4287454842 184482.21177142436)","LINESTRING (-0.188815377642184 51.54530062848116,-0.18884093173149347 51.54530093305866,-0.18884523136087417 51.5452495764247,-0.18881851032171287 51.54524871443162)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Ulysses Road,NW6 1EE,CA-P,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",524973,185401,-0.198804,51.553665,46043875,Defined By Custodian,2019-11-29T23:02:00.000,"{'latitude': '51.553665', 'longitude': '-0.198804', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},5,32,1,"LINESTRING (524976.7150712373 185402.73827345413,524975.4123515832 185404.0578957162,524970.9435284665 185399.48920349072,524972.2709833038 185398.21956692042)","LINESTRING (-0.19875004780155994 51.553679555005445,-0.19876835995883763 51.55369170309293,-0.19883440415551037 51.55365163248592,-0.19881571767704334 51.553639928165325)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Lithos Road,NW3 6DX,CA-R,CA-R;CA-K,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526018,184953,-0.183899,51.549407,46044253,Defined By Custodian,2019-11-29T23:02:01.000,"{'latitude': '51.549407', 'longitude': '-0.183899', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},18,131,1,"LINESTRING (526021.9909373902 184953.15696476508,526021.2818621356 184954.76650403923,526016.3183353527 184952.53714218744,526017.0026754241 184950.89761149822)","LINESTRING (-0.18384213698917354 51.549406816285554,-0.18385178176802205 51.54942143951498,-0.1839241277577258 51.54940251143863,-0.18391485024835058 51.549387624198346)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Cubitt Street,WC1X 0LS,CA-D,N/A,11,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530762,182694,-0.116357,51.528027,46043164,Defined By Custodian,2019-11-29T23:01:58.000,"{'latitude': '51.528027', 'longitude': '-0.116357', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},14,99,2,"LINESTRING (530761.3345089136 182688.23529184994,530763.0165013783 182688.34526037177,530762.826864973 182700.471789189,530761.0294416528 182700.5717605725)","LINESTRING (-0.1163689492056362 51.527975328828425,-0.11634467526952648 51.52797592797551,-0.1163429076485974 51.52808495048772,-0.11636876680377552 51.528086264734426)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Lady Margaret Road,NW5 2QE,CA-M,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529202,185216,-0.137907,51.551051,46045240,Defined By Custodian,2019-11-29T23:02:03.000,"{'latitude': '51.551051', 'longitude': '-0.137907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},12,84,1,"LINESTRING (529204.4608464984 185219.6506817321,529202.5892176285 185219.78064453063,529202.1769645733 185214.00229856497,529204.0073681378 185213.8723357664)","LINESTRING (-0.13787091746550917 51.55108284346996,-0.13789784903845403 51.55108443949539,-0.13790591257819002 51.55103260483027,-0.13787957529234407 51.55103101823542)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Nassington Road,NW3 2UE,CA-H,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527499,185786,-0.16225,51.556561,46049195,Defined By Custodian,2019-11-29T23:02:12.000,"{'latitude': '51.556561', 'longitude': '-0.16225', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},8,52,1,"LINESTRING (527502.8039111479 185784.41901847735,527502.7049704146 185786.41844614715,527496.9828980105 185786.2684890719,527497.106573927 185783.90916442155)","LINESTRING (-0.16219578067342447 51.55654497087332,-0.16219648276081783 51.55656296177863,-0.1622790312241851 51.55656290568018,-0.1622781028730751 51.55654167484944)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Broadhurst Gardens,NW6 3QP,CA-R,CA-R;CA-K,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525924,184636,-0.185368,51.546579,46046529,Defined By Custodian,2019-11-29T23:02:06.000,"{'latitude': '51.546579', 'longitude': '-0.185368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,123,1,"LINESTRING (525921.4506623235 184637.07744158743,525921.8381801952 184635.36793092976,525928.0219760211 184636.7075474685,525927.5849877828 184638.44704954122)","LINESTRING (-0.18540447567146817 51.54658860867194,-0.18539950160814603 51.546573158780895,-0.1853098903368893 51.54658381945331,-0.1853155666981657 51.54659954991164)"
disabled (green permit),at any time,N/A,N/A,N/A,N/A,Saffron Street,EC1M 3JU,CA-D,N/A,1,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531441,181992,-0.106836,51.521561,46042502,Defined By Custodian,2019-11-29T23:01:57.000,"{'latitude': '51.521561', 'longitude': '-0.106836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},11,75,1,"LINESTRING (531440.2410850392 181994.37390760513,531441.1315516382 181992.60441411738,531437.6438907924 181991.1148405034)","LINESTRING (-0.10684647630870678 51.521582327735345,-0.10683430864108183 51.52156621877757,-0.10688510474750368 51.52155364311078)"
disabled (green permit),at any time,N/A,N/A,N/A,N/A,Betterton Street,WC2H 9BT,CA-C,N/A,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530274,181224,-0.123931,51.51493,46042437,Defined By Custodian,2019-11-29T23:01:57.000,"{'latitude': '51.51493', 'longitude': '-0.123931', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},11,77,1,"LINESTRING (530269.5578395384 181219.43573135065,530274.2245441217 181224.0444121295,530275.5767341423 181222.5748327922)","LINESTRING (-0.12399694856789682 51.51488901559294,-0.12392802993731379 51.51492935802158,-0.12390909674943895 51.51491583967756)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Broadhurst Gardens,NW6 3BH,CA-R,CA-R;CA-K,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525712,184605,-0.188434,51.546347,46046481,Defined By Custodian,2019-11-29T23:02:06.000,"{'latitude': '51.546347', 'longitude': '-0.188434', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,123,1,"LINESTRING (525711.0367030234 184608.73555436824,525710.0885209967 184607.07602940232,525715.5797316901 184604.2668335263,525716.3795026169 184605.87637280047)","LINESTRING (-0.1884474684491247 51.54638076495152,-0.18846172798824903 51.5463660616625,-0.18838358225804638 51.54633959306507,-0.1883714797166374 51.546353880148764)"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Kingsgate Place,NW6 4TB,CA-Q,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.195365,51.540606,46127345,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.540606', 'longitude': '-0.195365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},13,90,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Kidderpore Avenue,NW3 7SU,CA-S,N/A,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525326,185834,-0.193561,51.557478,46035161,Defined By Custodian,2019-11-29T23:01:53.000,"{'latitude': '51.557478', 'longitude': '-0.193561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},6,37,2,"MULTILINESTRING ((525331.5000504176 185831.42556299394,525326.72616004 185834.2747474234,525327.7650377388 185835.92427525096),(525332.4399873831 185833.10508223655,525331.5000504176 185831.42556299394),(525337.2138777607 185830.22590639206,525336.2821858563 185828.56638142615,525331.5000504176 185831.42556299394))","MULTILINESTRING ((-0.1934828552574542 51.55745357878258,-0.19355066851718555 51.55748024488991,-0.19353510353080397 51.557494838712245),(-0.1934687060557529 51.55746846410396,-0.1934828552574542 51.55745357878258),(-0.19340090354003595 51.55744152841614,-0.1934149267672737 51.55742682096368,-0.1934828552574542 51.55745357878258))"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Glenhurst Avenue,NW5 1PT,CA-U,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528436,185814,-0.148731,51.5566,46044662,Defined By Custodian,2019-11-29T23:02:02.000,"{'latitude': '51.5566', 'longitude': '-0.148731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},10,71,1,"LINESTRING (528438.1566227011 185818.11937185153,528439.2697059497 185816.58980968417,528434.1989933725 185813.21077692223,528433.1601156738 185814.67035912117)","LINESTRING (-0.14869875246526412 51.556635929507905,-0.14868326370440457 51.55662193050608,-0.1487576000002907 51.556592716648886,-0.14877204451400647 51.55660606987106)"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Chester Road,N19 5DF,CA-U,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.142664,51.563452,46127153,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.563452', 'longitude': '-0.142664', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},10,67,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Compayne Gardens,NW6 3JU,CA-R,CA-R;CA-K,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526128,184583,-0.182446,51.546057,46046552,Defined By Custodian,2019-11-29T23:02:06.000,"{'latitude': '51.546057', 'longitude': '-0.182446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,123,1,"LINESTRING (526130.9329297191 184582.13316922178,526130.8999494747 184583.97264267798,526125.3345332314 184583.89266557118,526125.3675134759 184581.9732150082)","LINESTRING (-0.18240472504323005 51.54604808750799,-0.18240454131407877 51.54606462633508,-0.18248478792022776 51.546065150129664,-0.18248500027583972 51.546047892542845)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Broomsleigh Street,NW6 1QW,CA-P,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",524968,185129,-0.198972,51.551222,46043859,Defined By Custodian,2019-11-29T23:02:00.000,"{'latitude': '51.551222', 'longitude': '-0.198972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},5,32,1,"LINESTRING (524967.9505712867 185125.90751543432,524969.7479946068 185126.47735232022,524967.9835515312 185131.8058270602,524966.1861282111 185131.16601020584)","LINESTRING (-0.19897458961345488 51.55119355803621,-0.19894847694694012 51.55119828153176,-0.19897202223258967 51.551246560138736,-0.19899815974536408 51.55124120771425)"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Laurier Road,NW5 1SG,CA-U,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528667,186121,-0.145288,51.559306,46044711,Defined By Custodian,2019-11-29T23:02:02.000,"{'latitude': '51.559306', 'longitude': '-0.145288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},10,69,1,"LINESTRING (528669.026578593 186124.32172234045,528670.1808871471 186122.9021286949,528665.2503406086 186119.24317605922,528664.1125221767 186120.74274681153)","LINESTRING (-0.14525840648678431 51.55933516801421,-0.14524228313008536 51.559322147608476,-0.14531470714660613 51.55929038880955,-0.14533056353007523 51.55930412417979)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Somali Road,NW2 3RR,CA-P,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",524520,185496,-0.205301,51.554619,46043890,Defined By Custodian,2019-11-29T23:02:00.000,"{'latitude': '51.554619', 'longitude': '-0.205301', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},5,30,1,"LINESTRING (524521.5547182121 185493.50229252392,524522.7337619496 185494.77192909425,524518.7266622544 185499.01071575418,524517.473412967 185497.82105629065)","LINESTRING (-0.20527966166849074 51.55459583648995,-0.20526221523642496 51.55460698705078,-0.20531848543371914 51.554645965833004,-0.2053369733855441 51.55463555040347)"
disabled (blue badge),mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Manstone Road,NW2 3HD,CA-Q,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",524199,185249,-0.210015,51.55247,46043940,Defined By Custodian,2019-11-29T23:02:00.000,"{'latitude': '51.55247', 'longitude': '-0.210015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},5,31,1,"LINESTRING (524203.49324117607 185250.34189646327,524202.1492962166 185251.8214729389,524197.78765889414 185247.88260042944,524199.1316038536 185246.35303826205)","LINESTRING (-0.2099507230083653 51.55248053048425,-0.20996957558995968 51.55249412347352,-0.21003384079231668 51.552459682877,-0.21001500582475924 51.552445640661155)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Gordon Square,WC1H 0PY,CA-D,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529716,182306,-0.13157,51.524782,46036261,Defined By Custodian,2019-11-29T23:01:56.000,"{'latitude': '51.524782', 'longitude': '-0.13157', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},2,11,1,"LINESTRING (529718.2270938301 182309.67365399157,529719.2082561011 182308.1440918242,529714.5003262124 182304.7350676472,529713.3130374139 182306.2046469845)","LINESTRING (-0.13153682948516354 51.52481357030662,-0.13152325733801626 51.524799599215605,-0.1315923367782913 51.524770042975824,-0.13160890057410748 51.524783522294314)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Priory Road,NW6 3NR,CA-R,CA-R;CA-K,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525688,184564,-0.188795,51.545984,46046493,Defined By Custodian,2019-11-29T23:02:06.000,"{'latitude': '51.545984', 'longitude': '-0.188795', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,123,1,"LINESTRING (525690.2756391709 184567.6473157542,525688.4699707897 184567.6873043076,525688.4040103009 184561.92895261862,525690.1766984377 184561.89896120358)","LINESTRING (-0.18876138496567213 51.546016121019356,-0.18878739697173116 51.54601688217837,-0.18879040377204226 51.545965145992575,-0.18876486359106928 51.54596448201829)"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Belmont Street,NW1 8HJ,CA-F,N/A,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528288,184426,-0.15137,51.54416,46045958,Defined By Custodian,2019-11-29T23:02:05.000,"{'latitude': '51.54416', 'longitude': '-0.15137', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},9,63,1,"LINESTRING (528285.6889528196 184424.22836900066,528287.4946212006 184423.99843481864,528288.6324396326 184428.86704119458,528286.7690558238 184429.26692672854)","LINESTRING (-0.15140483097828744 51.5441438421438,-0.1513788900942538 51.54414136576203,-0.15136071711094 51.544184861240446,-0.15138742793688012 51.544188878071616)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Winchester Road,NW3 3NZ,CA-B,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526880,184225,-0.171736,51.542671,46047026,Defined By Custodian,2019-11-29T23:02:08.000,"{'latitude': '51.542671', 'longitude': '-0.171736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},1,6,1,"LINESTRING (526880.2193474039 184228.6643486192,526878.685766039 184227.86457755129,526881.6704781576 184222.6960570249,526883.418431111 184223.67577658308)","LINESTRING (-0.1717322065122794 51.542703670109574,-0.17175459746128052 51.54269682694798,-0.1717134426276875 51.54264970710211,-0.17168789722214206 51.54265811931346)"
disabled (blue badge),mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,High Holborn,WC2H 9AG,CA-C,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530146,181323,-0.125738,51.515849,46043020,Defined By Custodian,2019-11-29T23:01:58.000,"{'latitude': '51.515849', 'longitude': '-0.125738', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},11,78,1,"LINESTRING (530153.0303909966 181324.4956582594,530152.1399243977 181326.34512885395,530146.7888797431 181323.80585571332,530146.5662630934 181323.69588719148,530147.4402395701 181321.94638798042)","LINESTRING (-0.1256365592462246 51.51586000171051,-0.125648702612143 51.51587682753484,-0.12572671444263006 51.515855239016624,-0.1257299615230499 51.515854301980404,-0.1257180187542604 51.5158383783855)"
disabled (green permit),at any time,N/A,N/A,N/A,N/A,Lincoln's Inn Fields,WC2A 3JW,CA-C,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530672,181352,-0.118151,51.515988,46042388,Defined By Custodian,2019-11-29T23:01:57.000,"{'latitude': '51.515988', 'longitude': '-0.118151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},11,73,1,"LINESTRING (530671.6942046224 181348.49878743512,530673.8214303865 181349.45851271664,530671.2077460175 181354.81697887165,530669.0392949479 181353.8072678984)","LINESTRING (-0.1181570333766274 51.51595610504627,-0.11812603803506638 51.51596423842124,-0.11816169890239916 51.51601299776199,-0.1181933065865743 51.516004424690905)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Belsize Avenue,NW3 4BN,CA-B,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527101,185076,-0.168244,51.55027,46047264,Defined By Custodian,2019-11-29T23:02:08.000,"{'latitude': '51.55027', 'longitude': '-0.168244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},1,7,1,"LINESTRING (527101.7888743737 185079.940673306,527103.1822896998 185078.651042459,527099.1174745769 185074.3022872772,527097.6086283954 185075.66189809266)","LINESTRING (-0.16823150436791953 51.55030428304635,-0.16821188418058483 51.55029237964881,-0.16827204819670852 51.55025421203406,-0.16829330702416287 51.55026677035215)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Harmood Street,NW1 8DY,CA-F,N/A,19,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528559,184512,-0.147433,51.544871,46045940,Defined By Custodian,2019-11-29T23:02:05.000,"{'latitude': '51.544871', 'longitude': '-0.147433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},9,63,3,"LINESTRING (528559.2683252151 184505.05523255165,528560.9503176798 184505.3751409788,528559.4662066816 184512.6730519735,528556.6381507239 184525.07950066452,528554.9066878926 184524.85956362085)","LINESTRING (-0.14743229230575564 51.54480804384432,-0.1474079330410424 51.54481053611278,-0.14742665865466714 51.54487645950186,-0.14746288925082504 51.54498859866899,-0.14748792512239445 51.54498701607985)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Linstead Street,NW6 2RE,CA-Q,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525137,184533,-0.196748,51.545828,46044319,Defined By Custodian,2019-11-29T23:02:01.000,"{'latitude': '51.545828', 'longitude': '-0.196748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},18,132,1,"LINESTRING (525140.4454945829 184535.99637574155,525138.4996601631 184536.46624124394,525136.949588676 184530.09806411568,525138.8624428515 184529.59820719823)","LINESTRING (-0.19669772790167425 51.54585374529773,-0.19672560747754986 51.5458583991132,-0.19675021354718594 51.54580151079423,-0.19672282003080802 51.54579659475408)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Percy Street,W1T 1DS,CA-E,N/A,1017,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.132881,51.51837,46129456,Defined By Custodian,2019-11-29T23:02:14.000,"{'latitude': '51.51837', 'longitude': '-0.132881', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},2,9,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Oseney Crescent,NW5 2AT,CA-M,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529458,184835,-0.134357,51.547568,46048383,Defined By Custodian,2019-11-29T23:02:11.000,"{'latitude': '51.547568', 'longitude': '-0.134357', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},4,29,1,"LINESTRING (529461.5336065696 184834.7108696071,529461.1708238812 184836.47036595654,529455.2591150716 184835.4006721532,529455.4817317214 184833.6411758038)","LINESTRING (-0.1343068429687733 51.54756459037799,-0.1343114248899931 51.5475804858605,-0.13439702801442946 51.547572227538794,-0.13439446637723718 51.5475563641819)"
